citation_key,relevance,main_contribution,DT_definition,DT_advantages,application_domain,application_scenario,DT_location,relevant_asset,data_type,communication_type,integration_level,used_protocols,used_tools,operation_mode,DT_generator,framework,challenges
Dietz2020abc,HIGH,N/A,The Digital Twin (DT) is an assets virtual counterpart that enables enterprises to digitally mirror and manage an asset along its lifecycle This asset can be tangible as well as non tangible   rangingfrom turbines to services Enterprise ASSET ASSET LIFECYCLE DATA SOURCES  DIGITAL TWIN SEMANTIC TECHNOLOGIES DATA ANALYSIS INTERFACES AND Asset CONTROL,"Here, a DT can play animportant role to mitigate or even avoid these risks bycomprehensively informing about the real-world asset’s status, history and its maintenance needs. Moreover, someDTs even provide a direct interaction with the asset.",Smart Manufacturing,security testing,"cloud, embedded",Every Asset,N/A,DIGITAL_PHYSICAL,digital twin,N/A,N/A,"Analysis, intelligence, simulation and other services",N/A,N/A,"One impact of DTs concernsthe improvement in interconnectivity, especially withinsupply chains, where research should not be limited to asingle firm’s perspective but rather take a system-of-systemsapproach. Another potential for enterprises is theclosure of feedback loops along and the coherent linkagebetween the lifecycle phases of the asset. Here, the gain ofnew insights can lead to a win-win situation among theinvolved parties. Currently, very little is known aboutpotential data-driven business models, their power of digitaldisruptiveness and pricing strategies for DT services.Research can contribute by identifying the strategic role ofDTs for firms and its position in digital transformation, notonly from the perspectives of companies owning the DTsbut also from third parties contributing to the resources.Nevertheless, first evidence indicates that DTs can give acutting edge for next-generation virtual asset management."
Eckhart2018,HIGH,"In this work, we present a framework that allows usersto create and execute digital twins, closely matching their physicalcounterparts.We focus on a novel approach to automatically generatethe virtual environment from specification, taking advantage ofengineering data exchange formats",The term Digital Twin was coined by Shafto et al [29] and describesthe use of holistic simulations to virtually mirror a physicalsystem [26],"On top of this virtual representation, multiple securityfeatures can be established. For example, security and safety rulesstated as part of the specification can be automatically monitoredon the basis of digital twins",Smart Manufacturing,"intrusion detection, system testing, system simulation, detecting misconfigurations, penetration testing",N/A,CPS,"HMIW, PLCs, Motor etc. ",DIGITAL_PHYSICAL,digital twin,N/A,"CPS Twinning, Mininet, MatIEC","Simulation, Analss",AML files (domain knowledge + engineer knowledge) manually,YES,"As future work, we want to focus on the replication mode ofthe framework, i.e., mirroring the state of physical systems to theircorresponding digital twins. To validate our approach, we plan tolaunch a MITM attack in the real environment for the purpose ofdetecting deviations in the behavior of digital twins to spot attacksas early as possible"
Eckhart2018a,HIGH,"In this paper, we propose anovel state replication approach that first identifies stimuli basedon the system’s specification and then replicates them in a virtualenvironment.",of digital twins1 ie virtual replicas of the network and the logiclayer of physical devices closely matching the physical devicesbehavior on these layers,"digital twins can run in parallel to a CPS, allowing toperform a security and safety analysis during operation withoutthe risk of disrupting live systems.",Smart Manufacturing,"security analysis, intrusion detection",N/A,ICS,"states of machines, network traffic, system logs, sensor measurements",DIGITAL_PHYSICAL,digital twin,N/A,"CPS Twinning, CPS State Replication, Mininet","Replicationm, FSM and behavioural models ",AML files (domain knowledge + engineer knowledge) manually,YES,"While the results of this work are promising, there are still somechallenges to be addressed to improve the state replication approach.For example, depending on the nature of the device or caused byinaccuracies of the specification, inferring the device’s characteristicsbased on the role definition may be infeasible. In this case,users are required to either add details about stimuli or explicitlylabel inputs as stimuli. Another possible option, yet more complexto implement, may be to develop a code analyzer that automaticallyinspects all programs, which are referenced in a CPS’s specification,for the purpose of stimuli identification. Furthermore, as ourapproach focuses only on states of software programs, support forreplicating stimuli that manifest themselves in the form of analogsignals is lacking. Thus, analog values that constitute stimuli mustbe converted to a binary representation, before they can be replicatedin the virtual environment. However, considering that CPSstypically consist of analog-intensive components, further researchin this area is worth pursuing."
Eckhart2018ab,HIGH,N/A,While theterm digital twin typically refers to adata driven or physical model of asystem we use it to describe an emulatedor simulated device that may beconnected to an emulated network Inthe context of this research digitaltwins reflect the correct behaviour oftheir physical counterparts as specifiedby experts from the industrial automationdomain,"As a result, a holistic security solutionthat not only protects the CPSduring operation, but rather throughoutits entire lifecycle is highly desirable.",Smart Manufacturing,"identification security weakness, security testing, monitoring, intrusion detection",N/A,CPS,"HMIW, PLCs, Motor etc. ",DIGITAL_PHYSICAL,digital twin,N/A,CPS Twinning,"Simulation, Analss",AML files (domain knowledge + engineer knowledge) manually,YES,"For future work, we intend to focus onthe simulation aspects of digital twinsby developing a feature that wouldallow users to recover historical statesof digital twins and replay their execution.In this way, certain scenarios canbe repeated for further analysis, e.g., tounderstand the propagation of malware"
Eckhart2019,HIGH,"In this chapter, we will discuss how digitaltwins can accompany their physical counterparts throughout the entire lifecycle andthereby strengthen the security of CPSs.",virtual replica of a system that accompanies its physical counterpartduring phases of its lifecycle consumes real time and historical data if required andhas sufficient fidelity to allow the implementation of the desired security measure,"Digital twins refer to virtual replicas of physical objects that, inter alia,enable to monitor, visualize, and predict states of cyber-physical systems (CPSs).",Smart Manufacturing,"security by design, intrusion detection, secure commissioning, detecting hardware misconfigurations, detecting software misconfigurations, security testing, privacy, system testing, system training, security compliance, legal compliance",cloud,"CPS environment, collobritations, functions, modules objectives, tasks",data availabe (everythng),"DIGITAL_PHYSICAL, DIGITAL_EXPERT",digital twin,"OPC UA , AML","CPS Twinning, Mininet","Repolication, Simulation, Analysis",AML files (domain knowledge + engineer knowledge) manually,NO,"In the future,more research isdefinitely required to investigate the practicality of the concept for security-enhancinguse cases."
Eckhart2019ab,MEDIUM,This survey article reviews the state of the art concerning quantitative security risk assessmentsfor ICSs and identifies promising opportunities for future research and associated challenges.,digital twin virtually replicates its physical counterpart such as anICS and can be employed for security improving use cases,Addressingthis issue requires innovative methods concerning the development of simulation platforms thatlend themselves well for assessing security risks,Smart Manufacturing,"quantitative security risk assessments, intrusion detection",N/A,"CPS environment, collobritations, functions, modules objectives, tasks",data availabe (everythng),DIGITAL_PHYSICAL,digital twin,N/A,N/A,"Simulation, Replication",engineering related data (specification files),NO,N/A
Eckhart2019abcde,HIGH,"This paper reports our work in progress to develop acyber situational awareness framework based on digital twins that provides a profound, holistic, and current view on thecyber situation that CPSs are in.",digital twin refers to a simulated or emulateddevice such as a programmable logic controller (PLC) that isconnected to an emulated network,"Although the digital-twin concept gives rise to amultitude of security-enhancing use cases [9], we put specialemphasis on the development of intrusion detection systems(IDSs)",Smart Manufacturing,cyber situational awareness,N/A,CPS,"sensor data, traffic, system logs, AML","DIGITAL_PHYSICAL, DIGITAL_EXPERT",digital twin,AML,"CPS Twinning, Mininet-WiFi","Simulation, Replication, Monitoring, Visualization",AML files (domain knowledge + engineer knowledge) manually,YES,"Furtherdevelopment effort is required to improve the visualizationof digital twins and to bring the record-and-replay featureto completion. Ideally, in the future, the introduced conceptcould be taken even one step further: instead of providing onlydecision support, the digital-twin framework could automatethe detection and mitigation of vulnerabilities, similar to acyber reasoning system."
Empl2021,LOW,"this paper conceptualizesa security analytics service used as a security add-onto these reference architectures. Thus, this paper conceptualizes aflexible security analytics service that implements security capabilitieswith flexible analytical techniques that fit specific SMEs’ needs.",Concerning the security analytics servicessecurity modules a digital twin represents the link from real timedata to feasible simulation or forecast scenarios In this context thedigital twin is therefore regarded as a foresight security module,"The sensor cloud collects and aggregates this data to determine the potential security state with security analytics (e.g., via a digital twin).",Smart Manufacturing,security analytics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"simulations, replications, and analytics",N/A,NO,"In the future, we will work on implementing a prototype of thissecurity analytics service. The design of a specific implementationcan be structured in several ways.We recommend a design based onvirtual machines, dockerized applications, and specific connectorsfor a straightforward adoption and application of the capabilitymodules. As we admit in the introduction, data is vital to generatewisdom. By bundling the data sources and types of data (streamvs batch) required to fulfil a particular capability module (e.g., thedescriptive module takes batch data), analytical techniques can beinstantiated. Thus, each capability module should be represented byone virtual machine. The virtual machines can be interconnectedwith dedicated bridges to accomplish the dependencies betweenthe capability modules. Each of the virtual machines is runningon Docker to establish containerized and modular applications.There are many open-source software and tools for security analyticsapplications that need to be categorized depending on theirfunctionality, e.g., Suricata is an intrusion detection tool and is,therefore, available in the detective module. In this context, thesecurity analytics repository is considered a collection of dockerizedapplications. Besides provisioning dockerized applications, thesecurity analytics repositories need to yield connectors for eachapplication to bind multiple applications’ sinks and sources. Additionally,machine learning models can be shared across the securityanalytics repository and integrated into the desired capability module.Those machine learning models might be integrated into thepredictive module (stream data) and the descriptive module (batchdata). The different analytical techniques can be tagged inside thesecurity analytics repository (e.g. for detective module) and rankedby other users. These mechanisms are resulting in transparency asto which methods are successfully contributing to the cybersecurity"
Erol2020,LOW,"In this study, considering theimpressive potential of the Digital Twin technology in the fieldof health, qualified studies that will guide future studies areemphasized.",The Digital Twin is a digital copy obtained by modelingthe state of a physical system collecting data through sensorsplaced on these systems and reflecting this data into digitalmedia Digital Twins build a bridge between the physical anddigital world by enabling us to understand the past and presentprocesses and make predictions for the future,Digital Twin technology will also help in early and accurate diagnosisof cancer diseases.,Smart Health,future predictions,N/A,"patients, radiology department, Artificial Intelligence-based human biological systems or organs or molecular systems, (physical) processes, people, human body, soldiers","individual and population data, real data","DIGITAL_EXPERT, DIGITAL_PHYSICAL",digital shadow,N/A,N/A,"simulation, monitor","Digital twins used for this purpose are built on computer-based, or in silico, modelsthat are fed individual and population data; Semic Health's Digital Body Total has developed theDigital Twin of Artificial Intelligence-based human biologicalsystems or organs or molecular systems, based on aggregateddata and medical histories, to help diagnose current medicalconditions and predict possible health problems",NO,". In the future, inaddition to the health field mentioned in this study, detailedstudies can be carried out on Digital Twin technology fromdifferent perspectives such as aerospace, military, education,security systems. Besides, studies can be conducted for morespecific application areas that have not been done yet in thefield of health."
Fournaris2019,HIGH,"In this chapter, we explore thevarious CPS cybersecurity threats and discuss how adding security as a parameterat the CPS design phase can provide a well-structured and efficient approach onproviding strong securityCPS foundations.Newtechnologies onCPS security designare presented and emerging security directions are discussed.",Digital Twin (Tao et al 2018)by representing a digital model that accurately mimics its physical counterpart andevolves is continuously updated to reflect changes in the physical world (Maurer2017) becomes fertile ground for detecting deviations between the physical twin andits digital counterpart,"This analysis feeds into the relatively modernconcept of a Digital Twin: an online, cyber model of the physical processes takingplace in a CPS, which can be used to simulate outcomes at decision points, or monitorthe operation of a CPS in real time. In this sense, a Digital Twin can incorporatemanyof the online threat detection and preventionmeasures discussed above.",Smart Manufacturing,"monitoring, controlling,  security testing, cyber-threat prevention, threat detection, intrusion detection",N/A,CPS,data from CPS,DIGITAL_PHYSICAL,digital twin,N/A,N/A,"analysis, simulation, monitoring",N/A,NO,"The first direction involves the formal description methods for the principal,as well as for the emerging composable system properties and the exploitationof automatic executable model transformation and component code generationmethods and tools in order to create security monitor(s) from a distributed systemspecification.Then, there is the quest for the consolidation, or even more, the standardizationof basic run-time frameworks, component libraries, and subsystem interfaces thatwill ease the deployment of interoperable customized components into generic,domain-specific solutions and architectural frameworks"
Furness2019,MEDIUM,N/A,A digital twin is a virtual representation of a physical object or system acrossits life?cycle It uses real?time data and other sources to enable learning reasoningand dynamically recalibrating for improved decision making (Mikell andClark 2018),Having access to a digitaltwin of a CPS would provide the ability to investigate responses of the system tothreats while not taking these systems offline.,Generic,"threat response investigation, monitoring, application of security controls, evaluation of vulnerabilities, understanding of responses, risk assessment",N/A,CPS,real?time data and other sources,"DIGITAL_PHYSICAL, DIGITAL_EXPERT",digital shadow,N/A,N/A,"replication, monitoring",N/A,NO,N/A
Gajek2020,MEDIUM,"Hence, to adequatelymanage these risks in the emerging digital world, there is a vital necessity to raise awareness, establish, maintain, and furtherdevelop cyber-security measures to ensure an appropriate level of protection along the entire value chain and supply chain.",A digital twin is a digital representation of a physical objectprocess or system and it can exist in many forms DigitalTwin in the human context is all the data footprint that weas humans create through our attributes and interactionsAttributes are core data that make up what we are includingname age gender address ethnicity education salary etcInteraction refers to all the data and footprint that is createdwhen we interact with the external world The term DigitalTwin therefore can be loosely applied to any form of digitalrepresentation,"To manage and control aUSB device, a means of binding the hardware with its digitaltwin is required. Once this is achieve, a means of authenticationto confirm that the binding is correct and valid is alsorequired.",Smart Manufacturing,incident prevention,N/A,"hardware (USB), physical object,process, or system, and it can exist in many forms",all the data footprint,"DIGITAL_PHYSICAL, DIGITAL_TWIN",digital twin,N/A,N/A,"simulation, replication",Creating a Digital Twin within a Blockchain is not differentfrom the standard approach. The manufacturer of thephysical object issues a cryptographic identifier. The correspondingcertificate attesting the objects attributes isstored in the blockchain.,NO,Furtherresearch is recommended to demonstrate the technical feasibilityof implementation (for USB device management) ina factory environment.
GamezDiaz2020,MEDIUM,This article aims to provide a survey on the field of Digital Twintechnology focusing on machine learning and coaching techniques as they have not been exploredyet. We also define what Digital Twin Coaching is and categorize the work done so far in terms of theobjective of the physical activity.,Digital Twins are defined as digital replications of living as well as non living entities that enabledata to be seamlessly transmitted between the physical and virtual worlds ,"The use of the Digital Twin technology can help bring a highly customizable solution to individuals.Digital Twin (DT) technology enables the collection and analysis of data about the real twin and providesthem with personalized feedback to improve their quality of life and wellbeing [8,9].",Smart Healthcare,data security,"edge, cloud","Player, trainee (athletes)",real-time and historical data,DIGITAL_PHYSICAL,digital twin,N/A,"MATLAB, C++, scikit-learn, CAFFE, Kinect Software Development Kit","machine learning, analysis, replication, ",N/A,NO,N/A
Garcia2020,HIGH,We present potential approaches for implementing secure embedded intelligence (SEI) and integratedstate awareness (ISA) in advanced nuclear energy (NE) systems.,A DT is a computational model of a physical SSC Being a virtual replica of ita DT can act like the real SSC and assist in the interpretation of signaturesand patterns the testing of new settings the simulationand analysis of all types of scenarios and the execution of whatevermay be needed in a virtual environment knowing that whatit is observed in the DT would also arise in the physical asset (iSCOOP 2018),"Typical applications benefiting from DDR – in waysthat improve reliability, availability, maintainability, safety, andsecurity (RAMS) and reduce costs and operational risks – includeanomaly detection, diagnostics, and prognostics, root cause analysis,control, optimization, planning, visualization, commissioning,and training. DT technology may also assist in remote operation,maintenance, and repair of nuclear systems as well as providefeedback and insights for improving designs.",Nuclear Power Plants,"threat detection, intrusion detection","cloud, edge","physical SSC, CPS","sensor data, models",DIGITAL_PHYSICAL,digital twin,N/A,N/A,"replication, analysis, simulation, ML","A distributeddigital twins (DDT) approach is proposed. To makethem work in cooperation, knowledge databases should beequipped, not only with episodic memory consisting of aseries of loosely connected parts or events, but also withadvanced representation constructs and contents that canbe accessed and manipulated to support explanations generatedby embedded intelligent agents, including larger-scalestructures for recording states, plans, actions, and executiontraces.",YES,N/A
Gehrmann2020,HIGH,"Inthis paper, we discuss how a digital twin replication model andcorresponding security architecture can be used to allow datasharing and control of security-critical processes. We identifydesign-driving security requirements for digital twin based datasharing and control.",Originally the concept was used to refer to the digitalrepresentation of a product used in simulations software buthas been expanded to a concept where not only a physicalproduct is represented in virtual form (software) but eachproduct is directly connected with a virtual counterpart thedigital twin,We tackle this general security issue in thispaper by looking into the digital twin model as an enabler forenhanced security when opening up IACS low level controlfunctions and data exchange according to the Industry 4.0vision. Digital twins and state replication as security enablerswere recently proposed by different researchers,Smart Manufacturing,"penetration testing, security analysis, monitoring",cloud,"products, production process (mentioned in the defintion part), IACS",N/A,DIGITAL_PHYSICAL,digital twin,AML,N/A,"replication, analysis, ","However, the state replication design in [10] is built uponmeasurement of input values and that the physical and digitaltwin runs functional identical programs or what the authorsrefers to as passive state replication.",YES,"Below, we discuss the most important future work: Performance: We have here made first proof of conceptof the architecture. In order to see the effect of the architecture on different platform and production scenarios,more performance evaluations on different platform, withmore complex digital twin state models and with largeramount of production nodes are needed. Intrusion detection: In our security architecture, wehave only show how on principle level how to integrateintrusion detection at the boarder to the virtual domain. Itis left for future research to design and integrate intrusiondetection in a fully working system. Access control: The architecture allows for advancedaccess control in the virtual domain. The main advantagewith this approach is that this can be supported withoutaffecting the production domain at all. It remainsto design and evaluate this approach in a full systemimplementation of the architecture. Formal security analysis: We have proven the consistencyof the proposed synchronization protocol andshowed that the security of the protocol depends on thesecurity of the underlying used secure channel. Formalanalysis of the security of the complete system designand all protocols are left for future work. Security analysis services: Apart from IDS and accesscontrol enforcement in the virtual domain, additionalsecurity analysis services may be supported as virtualcomponents as we showed in our architecture design. Thisinclude services such as virus scan, DoS prevention etc.The design and evaluation of such services is left to futureresearch as well."
Glawe2020,LOW,The CyberFactory#1 project addresses these needs by providing a framework of possible capabilities for resilient FoF environments.,N/A,"the digital-twin which simulates the architecture, the anomaly detection to detect failures of the architecture and the reconfiguration/optimization to select new strategies.",Smart Manufacturing,"training, anomaly detection,  strategy testing",N/A,manufacturing-execution-system (transportation system and the robots),real-time data and the historical data,"DIGITAL_EXPERT, DIGITAL_PHYSICAL",digital twin,N/A,N/A,simulation,TODO,YES,N/A
Grabis2021,MEDIUM,This paper proposes to ex-tend CDD to address security and resilience concerns in organizational networks. A method extension defining modeling concepts and development procedure is elaborated,N/A,"patterns. The method also considers using a data-driven digital twin for continuous exploration and prediction of newly arising threats. The digital twin uses live data to evaluate the current situation and to appraise suitable response mechanisms. In order to explore network behavior depending on contextual changes and adjustments used, its virtual representation or digital twin is used [12]. It uses live data to diagnose potential problems and to plan capability delivery.",Organization,"incident diagnosis, incident response, threat prediction, security analysis",N/A,"CAN, aspects of the capability delivery",lice data,DIGITAL_PHYSICAL,digital twin,N/A,DOE,simulation,"The digital twin is based on a model rep-resenting the network. Various types of models including simulation, statistical, and machine learning could be used. The Design-of-experiments (DOE) module is used to specify scenarios to be explored to identify weaknesses and potential threats.",YES,"The digital twin component is introduced in the paper. However, the digital twin development process is still highly case specific. Formalization of the digital twin de-velopment and exploration processes in an area for future research. It should also be considered in relation to knowledge reuse in the form of patterns as suggested by the CDD methodology."
Guo2020,MEDIUM,"In the paper, we analyze the cyber security risks fromelements of threats and vulnerability that are faced by ICS during the construction phase from the perspective of the businessowner of NPPs.",DT is atechnology to model assets with all their geometrical data kinematic functionality and logical behavior usingdigital tools not only to replicate but to digitize physical objects in virtual space and simulate the behaviorcharacteristics of physical objects in real environment,"The three biggest advantages to use DT to construct aplatform for testing and verifying the defense architecture consist in: design phase of ICS, operation, ",Nuclear Power Plants,"security testing, security analysis",N/A,"ICS,","geometrical data, kinematic functionality and logical behavior",DIGITAL_PHYSICAL,digital twin,N/A,N/A,"Simualtion, analysis",N/A,NO,"proposes to explore an ICS test platform based on DT technology, which allows us to monitor the running stateof ICS and to verify any security measures before it is deployed in the real environment.However, this paper also notes that although TC technology has been applied in the"
Hadar2020,HIGH,"This paper presents a cyberdigital twin, based on attack graph analytics, that automaticallygathers and prioritizes security controls requirements at scale overactive networks.",Digital Twin stands for a softwarereplica that captures an aspect of a physical system  Theterm Digital Twin originated in the world of manufacturing,It isused to describe a digital replica of a system in a manner thatallows performing digital simulations. We apply this principle tothe realm of cyber security. CYBER DIGITAL TWIN,Organization,"detecting missing security controls, cybersecurity posture modeling",N/A,"computer network, SCRs",Analytical Attack Graph (AAG)?,DIGITAL_PHYSICAL,digital twin,N/A,AgiHack (Analytical Attack Graph (AAG)),"Simualtion, analysis",N/A,YES,"In future work we intend to explore further security controls’interdependence and scaling of massive networks in heterogenousplatforms. Additionally, we intend to expand the landscapeof vulnerabilities and types of attack tactics to domainssuch as the Internet of Things (IoT), application security in enterpriseresource planning (ERP) systems, different operationaltechnology (OT) devices, and embedded systems."
Hammoudeh2020,MEDIUM,This key note discussion outlines how to implement blockchainas a fundamental theory for trustless security for connected CNI,N/A,"A digital twin provides a platform to solve majorIoT related CNI cybersecurity challenges in tomorrow’s secure infrastructure,energy distribution, smart cities, smart manufacturing(Industrial IoT and Industry4.0) and autonomous transit systems.",Generic,???,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hau2020,LOW,A design-centric modeling approach was proposed to model thebehaviour of the physical processes controlled by Industrial ControlSystems (ICS) and study the cascading impact of data-orientedattacks.,N/A,Thisallows us to build a model that is a digital twin of the physical CPSwe are modeling with respect to the pre-defined threat capabilitiesand goal.,Generic,"intrusion detection, simulation, attack analysis",N/A,CPS,N/A,N/A,N/A,N/A,N/A,simulation,N/A,N/A,"Although the modeling approach mayworkwell for a simple CPSsuch as SWaT, there might be challenges with modeling more complexand large scale CPS due to the increased inter-dependenciesof subsystems and non-linear dynamics. This could potentially beresolved by using composition of smaller models of subsystemsand using linear approximation for the non-linearity in dynamics.It remains as part of future work for the evaluation of the applicabilityof modeling approach on other CPSs (i.e. Electric PowerGrid Systems where generators, switches/breakers and batteriesare analogous to pumps, valves and tanks).Further work also remains for the water treatment testbed modelto study the improvement in resilience from implementing the recommendeddesign changes. The current work looks into the cascadingeffects of attacks within a system, however, CPSs are usuallynot independent systems but are connected systems-of-systems(i.e. water treatment plant is connected to a water distribution network).Future research could focus on evaluating cascading effectsof attacks on inter-connected systems."
He2019,MEDIUM,"Given the importance of security in process systems, this paper presents a data-driven digitaltwin system for automatic process applications by integrating virtual modeling, process monitoring,diagnosis, and optimized control into a cooperative architecture",Digital twinsdescribe the use of holistic simulations to virtually mirror a physicalsystem ,"Adopting digital twins allows operators to monitorproductions, test deviations in an isolated virtual environment,and further strengthen the security of process industries [6]. Adopting digital twins allows operators to monitorproductions, test deviations in an isolated virtual environment,and further strengthen the security of process industries [6].",Smart Manufacturing,"monitorin, fault detection, fault diagnosis",embedded,actual systems,N/A,DIGITAL_PHYSICAL,digital twin,N/A,N/A,"monitoring, analysis","The design process of digital twin systemis formulated as follows: First, the adaptive closed-loop SIM isapplied to build the data-driven residual generator based on thevirtual system modeling with unknown parameters of plant models; Second, performance indices for abnormal status diagnosisare developed to enhance the identification performance of theprocess monitoring and diagnosis scheme; Finally, correspondingto different process faults, optimized control configurations aredesigned based on the offline adaptive tuning and online iterativetraining to improve the security under faulty conditions.",YES,"Concerning the future research, more accurate faultdiagnosis method would be focused, as well as an efficient distributeddigital twin approach should be developed to improvethe practical application performance of systems."
Karlsson2020,MEDIUM,"This thesis describes the implementation of a Digital Twin tied to Virtual Reality environment thatcould, by easy means be expanded to Augmented Reality-solution.",A Digital Twin is a digital system that is connected to a physical counterpart that is meant to mimicreality in greatest possible fashion and is meant to expand upon human machine interaction Integrationof IIot (Industrial Internet of Things) is an important factor since it allows extensive digital knowledgeabout a physical system Without the sensors that are connected via networking the DT would not beeffective compared to the real world due to the lack of data,"Scientific research promotes [3] that digital twins could help prevent disasters by preventingand testing these problems with digital counterparts, without affecting a real system.",Smart Manufacturing,"security testing, simulation, fault detection",N/A,CPS,real world data,DIGITAL_PHYSICAL,digital twin,N/A,N/A,"replication, simulation",N/A,NO,"There is still work to be done when it comes to the pure software to make it as complete as possible,this has been the second most important part since we wanted to focus on the research first and proofof concept, which we argue that we have achieved as discussed in Chapter 8 and Chapter 9 . But belowfollow some important and interesting steps to further the research and develop the software and bythat achieve an even better and more complete representation compared to our extended definition of adigital twin."
Kind2021,LOW,N/A,These models may be partof a digital representation of a physical device (so called DigitalTwin),"mistake. These models may be partof a digital representation of a physical device (so-called DigitalTwin), which can be analyzed for anomalies simultaneously withtraditional direct monitoring approaches.",Smart Manufacturing,"anomaly detection, monitoring",N/A,physical device,N/A,N/A,N/A,N/A,N/A,simulation,N/A,N/A,N/A
Kruger2021,MEDIUM,"This paper aims to provide perspectives on past and future Digital Twin research within the SOHOMA context. The paper describes the evolution of the Digital Twin concept over the past decade of SOHOMA workshops and reviews the contributions in terms of functions, architectures and implementation technologies.",A DT instance (DTI) mirrors its physical twin during its entire lifespan A,remote monitoring; predic-tive analytics; simulating future behavior; optimization and validation; documentation and communication; and connection of disparate systems,Smart Manufacturing,"fault detection, fault diagnosis, intrusion detection, intrusion prevention, monitoring, simulation",cloud,physical assest,historical data,DIGITAL_PHYSICAL,"digital twin, digital shadow (mentioned diffrent types but mopstley it's about a real DT)","MQTT, JSON, SQL","SLADT, DPWS, REST","simulation, replication, analysis",N/A,N/A,"A key challenge exists in the development of DT software. DTs are globally meant to become middleware interfacing all sorts of applications with the manufacturing system.Further challenges relate to achieving real-world impact through industrial applica-tions of DTs. In addition to a lack of benchmarks and standards, there is currently still a shortage of real-world, industrial case studies and applications."
Krundyshev2020,LOW,"To solve the problems of detecting cyberthreats, it is proposed to use generative adversarial neural networks. Algorithms for learning and testinga neural network were presented. The results of the experiments have demonstrated that the proposedsolution is highly accurate in detecting cyberattacks.",N/A,"allows creating a digital twin of the enterprise network infrastructure. The developed simulation modelwas run many times, each time in a new experiment the location of the nodes, their speed and transmitterpower changed.",Smart Manufacturing,intrusion detection,N/A,enterprise network infrastructure,N/A,N/A,N/A,N/A,N/A,simulation,N/A,N/A,N/A
KumarKandasamy2021,HIGH,"To overcome these shortcomings, we built a digital power twin for a physical test-bed that is used for cyber security studies onsmart grids. On the developed twin, the users can deploy real world attacks and countermeasures, to test and study its effectiveness",N/A,"Hence, there is a practical need for DigitalTwins (DTs) that can offer sufficient fidelity of the physical systemand emulated virtual network which is equivalent to a physicaltest-bed. Such DTs will eliminate the need for expensivetest-beds for non-essential cases and enables the infrastructureto be available to a wider group of students, researchers and operatortrainees.",Smart Grid,"attack testing, vulnerability testing, exploit testing, attack deployment, countermeasure deployment",cloud,physical micro-grid test-bed; cyber-security test-bed or plant. (ICS plant),N/A,DIGITAL_PHYSICAL,digital shadow,"MQTT, OPC UA, MMS, Goose, modbus","SCADA, AMI Meters, Historian, Physical Components and Electrical Connections, PLCs, IEDs and Network Switches, Run-time, IEC61850,Attack Designer and Attack Launcher, GOOSE, SPEEDGOAT, Node-Red",simulation,The architecture of the DT is shown in Figure. 5. The physicalcomponents in Figure. 1 are simulated on SPEEDGOAT andthe physical signals are transferred using a data-bus to the IEDs/AMIs which act as the interface between physical and networkcomponents,YES,N/A
Kummerow2020,MEDIUM,This paper describes howcentralized and decentralized DTs can help to monitor and controlfuture power systems with special consideration of their interactionin case of corrupted communication from cyber-attacks.,Generally a Digital Twin (DT) can be defined as a continuouslyadaptive model of a complex physical system [5 10]Thus the most significant difference between a DT and a mathematicalsimulation model is its continuous adaptability to alteringstates of the modelled object or system,"Enhanced modelling and observation:, Enhanced Monitoring and Assessment, Enhanced Prediction and Forecasting, Enhanced System Reliability",Smart Grid,"monitoring, dynamic observability, anomaly detection, countermeasure",edge,power systems,historical and real time data,DIGITAL_PHYSICAL,digital twin,N/A,"MATLAB, Apache Kafka, SCADA","simulation, analysis, ","The investigation of centralized and decentralized DigitalTwins is done by using a real time Hardware-in-the-Loop simulationsystem at control center and substation level, extendedby a numerical analysis system, evaluating all incoming datainto the system.",YES,"Future work includes theintegration and validation of the approach for different cyberphysicalcontingencies and test scenarios, based on commonlyknown IEEE and Cigré benchmark models. Finally, resultshave to be analyzed regarding the performance benefits by theutilization of DDMs in power systems. Respective methods, results and conclusions regarding DT tuning algorithms, DT interactionand performance tests are planned for further publication."
Kummerow2020a,MEDIUM,"Within this paper, a holistic data streamassessment methodology is proposed using an expert knowledgebased cyber-physical situational awareness for different steadyand transient system states.",Especially Digital Twins are a key technology toenhance modelling analysis and prediction capabilities,"In consideration of recenttrends [19] for utilizing Digital Twins in control rooms,additional virtual sensor data are integrated into theassessment procedure providing detailed insights into thedynamic system behaviour.",Generic,"anomaly detection, intrusion detection",N/A,power systems,N/A,N/A,N/A,N/A,SCADA,"simulation, analysis, monitoring",N/A,NO,"Future work comprises the execution of simulation studiesfor a defined transmission power system topology to evaluatethe performance of the dynamic system monitor and datastream assessment components. For multiple cyber-physicalcontingencies a correct discrimination between differentphysical events (e.g. outages, short-circuits) and cyber events(e.g. false data injections) as well as a correct assessment ofthe cyber-physical situation should be achieved."
